station_nm,station_x,station_y
4128,127.053282,37.513011
4124,127.015259,37.504206
4121,126.987332,37.501364
4119,126.963708,37.50877
4116,126.928422,37.517274
4113,126.902809,37.533406
4110,126.874916,37.546936
4108,126.861939,37.557402
4106,126.841333,37.568381
4102,126.802152,37.561916
158,127.044585,37.579956
4612,127.083715,37.750471
420,127.001844,37.582336
4607,127.049565,37.743676
4604,127.043257,37.737202
419,127.006221,37.588458
4515,127.21364,37.267051
4511,127.198781,37.237247
4506,127.159443,37.260752
4502,127.126033,37.270161
414,127.025732,37.638052
1283,126.792783,37.815298
1278,126.767257,37.725826
1273,126.794461,37.658239
1268,126.868387,37.602888
1263,126.935711,37.551881
157,127.034893,37.578103
1508,127.44226,37.265579
1505,127.299,37.374419
1501,127.111217,37.394761
1849,127.041151,37.517469
1889,126.638297,37.460789
1405,127.052991,36.777629
331,127.016189,37.485013
1883,126.695216,37.407722
1846,126.999422,37.265917
1914,127.057277,37.913702
1910,127.056486,37.818486
1749,127.051672,37.195504
328,127.01122,37.512759
1869,127.057353,37.245795
1865,127.11591,37.275061
1220,127.629874,37.476393
326,127.028461,37.527072
1213,127.372921,37.525545
1209,127.222672,37.579622
1206,127.161153,37.608806
1203,127.091909,37.59955
324,127.015872,37.548034
322,127.005602,37.559052
4316,127.0801,37.313335
4312,127.108403,37.367098
320,126.992548,37.566672
4307,127.028104,37.496837
317,126.97353,37.575762
1327,127.71434,37.818466
1324,127.557695,37.832067
1321,127.42661,37.735488
1319,127.311767,37.652782
1316,127.207853,37.637382
1313,127.12684,37.64202
314,126.943736,37.589066
313,126.935756,37.600927
3226,126.752618,37.448769
3222,126.709986,37.456805
3220,126.692575,37.457611
3216,126.683673,37.484192
3213,126.676203,37.506193
3210,126.676787,37.543742
3207,126.675687,37.56866
3204,126.666998,37.597566
246,127.024932,37.574747
3137,126.634729,37.393054
3133,126.661673,37.387855
3130,126.687869,37.412333
3127,126.698579,37.434935
3124,126.702143,37.457263
3120,126.723453,37.490535
3118,126.720555,37.508407
3114,126.728128,37.543238
3110,126.73578,37.571449
154,127.001849,37.570926
237,126.902767,37.534946
233,126.894932,37.493243
232,126.901401,37.485266
2754,126.797337,37.50538
2824,127.156866,37.44521
430,126.974733,37.522295
4215,126.441442,37.460699
4213,126.452508,37.447464
4211,126.49379,37.492904
4210,126.624648,37.556409
429,126.967894,37.52917
4208,126.7363,37.571662
4207,126.801904,37.561842
4204,126.898609,37.576958
4202,126.952024,37.54253
4201,126.969769,37.553247
427,126.972106,37.54456
4713,127.023242,37.576095
4711,127.016516,37.592467
4710,127.013396,37.603133
4709,127.008251,37.612072
4708,127.013626,37.620238
4706,127.018106,37.626914
4705,127.017511,37.634133
4704,127.016789,37.641537
4702,127.013273,37.65603
4701,127.012706,37.662909
425,126.978246,37.558514
424,126.986325,37.560989
4129,127.060245,37.514219
4127,127.043999,37.510297
